occurrenceID,datasetName,datasetProvider,scientificName,sex,individualCountEnd,plantScientificName,endYear,endMonth,endDay,verbatimEventDate,startYear,country,decimalLatitude,decimalLongitude,coordinateUncertaintyInMetersEnd,manualGeoreferencing,geometry,license,recordedBy,individualCount,year,month,day,gbifRegion,habitat,countryCode,stateProvince,county,municipality,locality,verbatimLocality,verbatimElevation,databaseName
https://www.inaturalist.org/observations/172797346,iNaturalist research-grade observations,,"Megachile sculpturalis Smith, 1853",,,,,,,Thu Jul 13 2023 19:32:10 GMT +0200 (GMT+2),,,43.241673,5.384287,,,3945342.35804451|2248633.35865712,CC_BY_NC_4_0,majipi,,2023,7,13,EUROPE,,FR,Provence-Alpes-Côte d'Azur,,,,Marseille,,GBIF
https://www.inaturalist.org/observations/172999297,iNaturalist research-grade observations,,"Megachile sculpturalis Smith, 1853",,,,,,,2023/07/13 8:35 PM,,,45.784167,4.857688,,,3920935.03121617|2532870.22190822,CC_BY_NC_4_0,ppolito,,2023,7,13,EUROPE,,FR,Rhône-Alpes,,,,"Parc Duquesne, 69006, France",,GBIF
https://www.inaturalist.org/observations/173560607,iNaturalist research-grade observations,,"Megachile sculpturalis Smith, 1853",,,,,,,2023/07/18 8:02 AM,,,44.516009,4.305598,,,3867846.7743938|2395607.72320541,CC_BY_NC_4_0,Sophie Mowles,,2023,7,18,EUROPE,,FR,Rhône-Alpes,,,,"07110 Montréal, France",,GBIF
https://www.inaturalist.org/observations/172979385,iNaturalist research-grade observations,,"Megachile sculpturalis Smith, 1853",,,,,,,2023-07-15 10:48:21+02:00,,,41.414558,2.153156,,,3663619.66829096|2068971.47443675,CC_BY_NC_4_0,danmao,,2023,7,15,EUROPE,,ES,Cataluña,,,,"Park Güell, Barcelona, Barcelona, ES",,GBIF
https://www.inaturalist.org/observations/172727669,iNaturalist research-grade observations,,"Megachile sculpturalis Smith, 1853",,,,,,,2023-07-13 19:39:22,,,44.085923,8.219067,,,4178060.49985615|2332357.80800635,CC_BY_NC_4_0,Samuel Büttler,,2023,7,13,EUROPE,,IT,Liguria,,,,"17023 Ceriale, Savona, Italien",,GBIF
https://www.inaturalist.org/observations/172503066,iNaturalist research-grade observations,,"Megachile sculpturalis Smith, 1853",,,,,,,2020/07/26 21:30,,,29.105816,117.927341,,,11125758.8560139|7385485.03367907,CC_BY_NC_4_0,megavespid,,2020,7,26,ASIA,,CN,Jiangxi,,,,中国江西省上饶市德兴市,,GBIF
https://www.inaturalist.org/observations/172383093,iNaturalist research-grade observations,,"Megachile sculpturalis Smith, 1853",Female,,,,,,2023-07-11 20:28:14+02:00,,,43.65442,5.262503,,,3938159.36703|2294919.04347881,CC_BY_NC_4_0,Ryan Boswarthick,,2023,7,11,EUROPE,,FR,Provence-Alpes-Côte d'Azur,,,,"Place Jean Jaurès, Lambesc, Provence-Alpes-Côte d'Azur, FR",,GBIF
https://www.inaturalist.org/observations/171660420,iNaturalist research-grade observations,,"Megachile sculpturalis Smith, 1853",Male,,,,,,2023/06/27,,,30.536049,114.364322,,,11012244.0783322|7058987.18629977,CC_BY_NC_4_0,Jinru Zhong,,2023,6,27,ASIA,,CN,Hubei,,,,湖北省武汉市武昌区 邮政编码: 430072,,GBIF
https://www.inaturalist.org/observations/172135976,iNaturalist research-grade observations,,"Megachile sculpturalis Smith, 1853",,,,,,,2023-07-10 13:07:03+02:00,,,41.867863,12.500803,,,4529352.19548007|2088424.6824113,CC_BY_NC_4_0,umbertopessolano,,2023,7,10,EUROPE,,IT,Lazio,,,,"Parco Regionale dell'Appia Antica, Roma, Lazio, IT",,GBIF
https://www.inaturalist.org/observations/171176537,iNaturalist research-grade observations,,"Megachile sculpturalis Smith, 1853",Male,,,,,,2023-07-05 11:37:09,,,46.598098,11.175291,,,4411142.59011694|2610130.14067753,CC_BY_NC_4_0,Georg,,2023,7,5,EUROPE,,IT,Trentino-Alto Adige,,,,"39011 Lana, Autonome Provinz Bozen - Südtirol, Italien",,GBIF
